Year,Argentina,Australia,Austria,Bahrain,Belgium,Bosnia and Herzegovina,Brazil,Bulgaria,Canada,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Developing Countries,Egypt Arab Rep.,Estonia,Finland,France,Germany,Greece,High Income Countries,Hong Kong China,Hungary,Iceland,India,Indonesia,Iran Islamic Rep.,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,Korea Rep.,Latin America & Caribbean developing,Latvia,Lithuania,Luxembourg,Macedonia FYR,Malawi,Malaysia,Malta,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Taiwan China,Thailand,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Venezuela RB,Vietnam
1990,N/A,26.33793460459,46.85210368417,N/A,N/A,N/A,N/A,N/A,26.54375813991,4.21752594537,N/A,N/A,N/A,N/A,N/A,21.69952582293,N/A,N/A,N/A,38.84822726454,26.53062016216,N/A,42.04963117849,14.10966768063,N/A,N/A,14.745911136,N/A,N/A,N/A,N/A,N/A,173.44652806978,N/A,N/A,N/A,N/A,5.89418887004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.99324919972,N/A,33.0521809808,N/A,N/A,N/A,N/A,N/A,1.05943702139,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.38032518372,N/A,N/A,N/A,19.51285238226,27.13228555318,25.5924785462,18.3240848026,N/A,N/A,N/A,39.91317402896,N/A,N/A,N/A,43.48562453144,25.58378245797,N/A,N/A
1991,N/A,26.46850193487,37.10151491157,N/A,38.80189442844,N/A,N/A,N/A,27.01042340962,10.38734173587,N/A,N/A,N/A,N/A,N/A,24.80371617245,N/A,N/A,N/A,35.82092556067,23.80941109016,N/A,42.81071358335,17.70524674808,11.50246538477,N/A,17.10401969359,N/A,N/A,N/A,N/A,N/A,154.31918901019,19.17328357012,N/A,N/A,N/A,9.68893365633,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.98176135263,N/A,33.082469823,N/A,N/A,N/A,N/A,N/A,1.12096401551,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.38999964526,N/A,N/A,N/A,19.07458900523,42.92014715729,23.16286945923,18.05024907185,N/A,N/A,N/A,25.57120547263,N/A,N/A,N/A,46.87576444216,27.97503650952,N/A,N/A
1992,N/A,26.02922274217,31.53752142733,N/A,42.51066099642,N/A,N/A,N/A,25.24417020984,15.90005757641,N/A,N/A,N/A,N/A,N/A,31.94298309229,N/A,N/A,N/A,38.78688086214,25.87256705745,N/A,42.47059475879,25.63573338808,9.68419649734,N/A,28.04744322697,N/A,N/A,N/A,N/A,N/A,122.5661528303,20.66897612611,N/A,N/A,N/A,15.07358891899,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.35992241537,N/A,36.39819339203,N/A,N/A,N/A,N/A,N/A,2.38796090574,N/A,N/A,30.78839246325,N/A,N/A,N/A,N/A,43.11530022334,N/A,N/A,N/A,17.57945725837,55.19868178036,20.55132406219,20.88995139364,N/A,N/A,N/A,16.1107995467,N/A,N/A,N/A,48.22303993646,31.36491578142,N/A,N/A
1993,N/A,27.63612438542,28.84429782892,N/A,42.50811527303,N/A,N/A,N/A,26.70465598443,16.40475632349,N/A,N/A,N/A,26.44253067648,N/A,38.0062015043,N/A,N/A,N/A,38.81070254704,25.64888871682,N/A,47.71632931167,34.78221510001,8.5960771496,N/A,21.82376386251,N/A,N/A,N/A,N/A,N/A,147.5631697229,27.84909293966,N/A,N/A,N/A,16.60837854061,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.53523724238,N/A,37.83445526455,N/A,N/A,N/A,N/A,N/A,6.08296829125,N/A,N/A,35.30559077022,N/A,N/A,N/A,N/A,56.53355397952,N/A,N/A,N/A,18.15268917207,45.76962580954,19.96888809208,25.39690742845,N/A,N/A,N/A,24.56043411967,N/A,N/A,N/A,48.98706040948,33.63553758906,N/A,N/A
1994,N/A,34.00822180879,35.52493283927,N/A,48.62236895384,N/A,12.24025833394,N/A,28.02570111941,28.50961832498,N/A,N/A,N/A,42.71752544279,N/A,52.9128053582,N/A,N/A,N/A,41.52491238204,30.50947807939,N/A,52.70218931701,44.76736191055,13.33622327108,N/A,34.47948745112,N/A,N/A,N/A,N/A,N/A,166.77276732596,27.97945865083,N/A,N/A,N/A,24.43878376086,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.79754643321,N/A,46.81913194345,N/A,N/A,N/A,N/A,N/A,10.39155863398,N/A,49.24192154371,43.85402614966,N/A,N/A,N/A,23.38809370423,72.61138149285,N/A,N/A,N/A,21.73362000332,71.95754235584,25.75362295281,31.34528001303,93.06077755621,N/A,N/A,20.79509994785,N/A,N/A,N/A,53.90026811249,36.2303953508,N/A,N/A
1995,N/A,33.98690210593,35.29171358993,N/A,52.61066001819,N/A,10.99475331443,N/A,28.86614938539,33.30579590281,N/A,N/A,N/A,25.60447553279,29.63374428868,46.02608661415,N/A,N/A,26.96477029454,41.17721351076,33.89669207304,38.70853035349,56.98221067324,42.1633016962,9.63269114024,N/A,27.6594842047,74.61392580856,N/A,61.17846330789,N/A,N/A,157.74876461791,27.80706511762,N/A,N/A,N/A,18.61888059349,N/A,N/A,N/A,N/A,N/A,102.94943520008,24.94236978354,13.82295953083,N/A,55.07516761135,N/A,N/A,N/A,N/A,N/A,10.94077137735,N/A,37.76940658916,44.07571300445,N/A,N/A,35.17076704545,20.37168381077,72.967068398,N/A,N/A,N/A,22.51277027453,48.30663109284,31.08571536385,37.94661734602,83.21106237979,235.65852157714,N/A,24.71689451936,N/A,N/A,N/A,58.12789405571,42.91526498926,N/A,N/A
1996,23.91517635655,40.09999753533,37.3271645089,N/A,62.57487055217,N/A,15.10200062693,N/A,34.27985476494,32.48026939104,N/A,N/A,N/A,29.71150280444,32.199885143,48.89240842576,N/A,N/A,27.95160250316,45.62223348736,39.62967109176,39.7220180723,65.71685897827,53.82248848553,16.54736850956,N/A,25.44385283198,89.16139821844,N/A,74.20793293723,N/A,N/A,165.58066900732,26.49640436178,N/A,N/A,306.33104265185,21.00516495566,N/A,N/A,N/A,N/A,N/A,118.0173795748,23.96050300785,16.74143954451,N/A,67.92361121864,N/A,N/A,23.03616482255,N/A,N/A,10.54254180047,176.24132204769,56.63710674267,49.01034922928,N/A,N/A,53.21030720428,21.61267327175,78.4022169851,N/A,N/A,N/A,26.72446084387,36.58825015108,40.30775205067,46.21229127186,85.58155463442,209.35413606092,N/A,22.6338668196,N/A,N/A,N/A,66.2520745877,54.84440450537,N/A,N/A
1997,31.96844346393,42.72982720006,39.26318258983,N/A,72.0907451358,N/A,24.86574486447,N/A,41.82612921894,34.83664967744,N/A,N/A,38.36096075538,26.19825158969,40.19254309265,50.56327840088,N/A,N/A,38.37199351168,51.5712644651,50.09615367353,54.78761305302,76.36349779244,62.64894025164,29.61184879123,N/A,27.90046504086,80.88636098782,46.61675485866,87.74680573915,27.99459508596,80.63165701838,130.09516925239,29.21553834104,N/A,N/A,286.12211602473,28.17183219717,N/A,N/A,N/A,N/A,N/A,95.65990003395,22.5705529514,22.29728989396,N/A,88.69578022118,N/A,211.54659004877,30.48164428416,N/A,N/A,13.17442559568,138.27202679082,57.88162690695,67.55690874686,N/A,63.32965084342,132.30269587363,27.60642217664,65.00854378313,56.97089082905,N/A,N/A,35.71044388756,39.78504657683,51.73422671092,56.70224160967,115.45663023525,93.50412095292,25.72753468486,35.30163251171,N/A,56.77023470587,N/A,81.9310895745,71.06273017095,N/A,N/A
1998,23.74431210316,37.92748219496,39.9051256239,N/A,96.45047960314,N/A,20.79931656103,N/A,41.09265347577,25.03706596512,N/A,N/A,28.84917009412,21.09107912499,46.08975391946,34.71671058297,N/A,N/A,53.67110582458,66.44743409438,66.75488381892,80.05316860543,88.29573933744,44.17201572967,28.09143257347,N/A,21.65608093015,15.28213849414,45.82994009586,121.90380601391,26.93020000311,107.61766247132,100.60677229776,30.6997297556,N/A,N/A,120.41758828885,22.45459284614,N/A,N/A,N/A,N/A,N/A,34.84068302731,23.49671286592,19.0392439775,N/A,115.01215362844,N/A,187.30978809986,28.05336390045,N/A,N/A,10.19480052967,67.39992757898,50.43012203291,106.1787457966,N/A,38.01490080446,54.90777508228,26.85019366437,36.86618221628,38.60330188142,N/A,N/A,51.66364548853,31.12518266057,58.65005981741,77.11799038133,91.31537465482,39.09179028459,24.77500221315,34.31028607734,N/A,25.04638320124,N/A,97.2631934323,82.37348496087,N/A,N/A
1999,20.79164684443,43.27263618318,33.7301777271,N/A,95.57480491787,N/A,15.82106518116,N/A,42.33465187213,25.25162523513,N/A,N/A,23.96091156779,20.35573270097,42.86839496664,38.35966385694,N/A,N/A,87.81242463677,77.5013187278,67.93691939947,153.44196450712,104.66310583167,59.23152590416,24.06013603855,N/A,25.60263500956,25.12817041302,77.41779262359,122.66019496193,31.69117203536,117.81136355164,126.81164034219,30.38579426497,N/A,N/A,274.26756437741,20.90490290399,N/A,N/A,68.47076199489,N/A,N/A,47.6531462376,37.85397639608,22.07536326287,N/A,125.19177270311,N/A,37.96174980804,26.51363325464,N/A,N/A,9.12997034047,84.09812202658,43.47725651757,93.0821412474,N/A,16.87136897799,7.58486176345,25.00721466641,55.0474216801,26.17306507707,N/A,N/A,54.64111882322,25.46091792466,65.51058707994,75.03628599532,90.20352346603,50.58970670826,27.07689519884,35.49720482837,N/A,7.92810736971,N/A,105.54330543852,99.93932679475,N/A,N/A
2000,21.4583276232,41.6304690851,28.07374782332,N/A,76.22326570387,N/A,23.09659480642,15.15099680591,58.41466118105,27.67414814894,N/A,N/A,25.84104852539,22.17137594986,50.00281445543,43.71059383459,N/A,19.66694393236,146.84840799129,92.24469257957,78.70082931194,130.75154037083,113.48370360651,74.60433512173,26.55563820294,N/A,27.41437343415,21.87221414663,118.43256512834,112.94974371599,43.89165398605,127.9422756685,136.16681027484,25.74667471717,5.84574909189,N/A,277.97377996975,25.60554981443,26.4434642508,21.82948435851,80.11473662211,N/A,N/A,58.00768617488,65.84872841625,28.20418265471,N/A,128.12689458038,N/A,42.78346857815,30.93335739873,N/A,N/A,8.14684213822,54.91231389864,52.75846878279,92.75568406318,N/A,14.56247498117,13.50770912419,34.15792772074,58.70708737098,22.32380547425,N/A,N/A,53.40149488613,21.19876404351,89.19679539611,72.0304472323,100.00776351647,39.20223849108,29.2784022603,63.47868221834,N/A,13.10554475873,N/A,103.27119609042,102.51803268223,N/A,34.61076529605
2001,15.59999941851,37.8040633698,27.92258341569,N/A,69.96056588453,N/A,15.86677191393,13.28925733041,44.9779665952,24.15229644406,N/A,6.89122731943,28.19594453754,16.75315258093,46.18667296711,31.56985403212,N/A,17.42818011837,81.67020268927,72.38200739283,60.09753671054,83.09094576317,90.76240632197,58.46542628593,20.50717660467,N/A,19.66308718742,14.06520673743,158.30471702183,117.44075000917,33.58001171003,98.92660333732,85.19384747238,26.54571175584,5.59057120315,N/A,117.00384374591,21.66100645976,35.64090800369,17.76132802365,51.45653164308,N/A,N/A,43.95293499723,44.60420574205,26.22497790551,N/A,101.75321210315,N/A,59.84410055556,28.37614451799,26.81524364205,N/A,6.81566285903,40.06294309522,38.12486511122,65.58553130891,N/A,12.84070854128,13.07971715982,37.44848600947,44.99566530577,26.86384430624,N/A,N/A,43.86197954951,16.2348852823,55.46058434015,64.97288469096,57.40928804482,31.01358425862,27.09760527059,23.86089917122,N/A,12.22602569599,N/A,86.33995289618,97.30585365978,N/A,77.20751959444
2002,17.03333832359,38.87389711472,30.06041939281,N/A,62.99666572882,N/A,10.78906711513,21.46427661721,40.2119157063,20.57047030541,N/A,8.35766276114,35.88860788237,20.86339489665,40.05094426008,31.97652746776,N/A,24.66975544638,66.12625358208,59.28222483732,46.73835942069,66.61714398499,75.43339343324,48.62629995662,25.691307226,N/A,17.85192602791,17.22317850517,81.43428902436,100.80730399871,26.9563798412,79.30471787293,69.00947343381,31.60555133339,5.73946759731,N/A,111.11809956863,18.63981163951,42.55593732436,19.84185182131,37.28371832676,N/A,N/A,48.92614056634,35.61103502676,27.1684184301,22.59534776672,81.98103024934,N/A,65.20741536462,25.97688021671,27.12679118175,N/A,6.69243738215,35.59385100529,35.60360962907,51.96629454517,N/A,21.30090193375,21.54266089858,41.63968483468,43.0643675167,32.39057797752,N/A,26.17535975291,39.22167996359,23.66116365016,44.74021626157,57.84130406583,59.77164797842,38.77151358054,24.57420208696,19.94833333328,N/A,13.02482214248,N/A,74.4520140449,88.11216569608,N/A,46.8283288282
2003,31.23999227356,45.01805155965,39.87156989624,N/A,62.28960262542,N/A,12.37517540507,57.80258684846,45.793505823,24.46407445793,N/A,11.59194564192,42.15194504022,30.77349267646,47.75898111074,34.5851775134,N/A,41.28707901233,68.38714756228,60.00255058708,43.34446022065,71.16579261866,73.87880694545,47.83816423766,31.87006829822,N/A,22.12139919358,21.14442082851,78.12440859777,112.97827080788,31.13213195685,84.74296735393,68.88753816042,37.04962554285,6.65368411122,N/A,81.92392171759,19.96231143339,62.70338080528,37.67325519242,39.62837987966,N/A,N/A,48.50538665132,41.83713603903,26.23981111434,26.98945811416,71.94023102579,77.74867538268,78.93247230625,27.13750663458,35.84982481777,N/A,9.99942485134,33.24555859981,39.86435290583,55.60658758344,N/A,31.53278969405,29.98018812057,55.70101583597,41.7390195702,54.58557312173,47.97478605643,32.05761708505,45.87034861977,33.27873276282,48.17627491806,56.7916419235,58.8934327543,53.17287012953,26.40450771225,22.36420153458,N/A,14.68478514022,N/A,72.44655150633,85.88855073786,N/A,36.39024820808
2004,47.17605737554,58.96969005323,66.37044135551,N/A,88.5803908907,N/A,19.87199998787,106.37619672067,59.29829243788,34.34217973922,N/A,21.4521014156,51.74276281246,50.17676789612,66.89832646786,46.57688800709,N/A,64.09719633518,80.7825903784,78.59845923237,59.24693524978,99.70214722937,90.17463282468,60.10518621221,49.63298473416,N/A,32.73898512528,31.57136829176,123.11512780996,155.6530570007,43.77390728682,105.90619042701,88.22370198111,54.73472541622,10.89660129805,N/A,73.54899585389,28.670764461,93.41261035053,66.99312761348,55.00121183417,33.43185080805,12.25025273001,58.55753168797,62.2294162386,37.32257372997,34.6171231135,88.05891415756,104.07704090383,126.35780539227,43.18867982626,49.59688827747,N/A,16.85110039838,43.30362522067,56.49804911349,75.96076444063,78.71889114824,55.55492413977,42.56017558826,95.70881988472,54.94407581302,77.97671860599,74.0270151647,46.32004089429,61.41565402264,42.93001257065,67.89041916058,71.49112129317,71.09286681948,74.99790834817,30.91455271101,37.72480817282,50.47136479268,33.96969084601,N/A,92.2659807507,98.53078772151,N/A,55.32390589842
2005,63.65469803428,73.40357924854,99.87016771564,152.71754792649,110.41206605375,N/A,29.61214660284,161.46111364273,74.78331480334,47.91747607835,31.6206719844,44.41960509158,77.44577188067,81.04110553617,86.50610902156,59.7505660113,N/A,109.83272072773,94.42255099937,92.38839594307,69.3492588996,128.57326680107,100.0890819246,66.85259023875,80.79265211178,N/A,44.49154509823,39.76146273205,111.00049226053,186.26594212122,54.0128241334,123.57535795306,96.01747386987,124.96278903341,20.47578962798,N/A,109.37983456965,42.34117697889,139.60344605761,124.47243148003,68.19248358998,60.53707882965,N/A,62.49953981445,85.57698442844,52.61473136721,38.42880396776,99.70800834932,122.61766743078,118.4893453591,62.01533830126,71.39835741119,N/A,25.03885602047,54.26727924179,78.10585296618,80.97285227087,151.12182194759,111.43150813141,55.0617710884,201.90192213636,65.0839879677,159.25314327589,77.26692145693,62.42403763846,75.51321507135,64.04017885789,80.95365038213,81.54974482411,74.55041234796,78.11018467314,33.82983097648,58.91501371927,81.60950852072,81.95721657271,N/A,105.13288473948,100.72993295845,N/A,60.63269505416
2006,74.62034591023,86.2659145583,133.3014943573,147.13950425645,136.54987184043,N/A,45.48983712134,193.61902785122,94.45102366176,56.16030684491,43.46857064949,71.53449725903,112.03438188374,101.63352037795,104.31252967528,79.62937434333,73.66847041791,123.73123900802,119.39763678286,113.660058078,88.57551653039,164.70891286616,114.86483392906,78.80071179157,91.29277027818,N/A,67.24087277092,55.1076531358,89.98569812931,229.83053549722,66.15394435077,144.1828169371,118.35140651195,119.9290983924,103.95092379722,N/A,138.49032937733,61.57134771802,171.92415451313,129.14208243473,102.0029180284,102.95951059647,N/A,68.27901433214,127.78948466242,76.33225322483,63.49988562515,121.31840317932,119.74830949113,148.17901293615,85.08938084631,80.13724055376,179.05434184876,49.03437564873,70.01411999523,113.32804414725,103.30422740394,119.82160245487,156.97711062881,111.31833500037,204.09204345923,78.18547308108,148.66889166211,109.44652011479,84.68822588455,95.59943909233,71.35987972579,104.00806081324,101.73016715224,82.75994164666,86.30018263522,43.75640397611,75.70289429339,110.19519151763,106.49452007859,261.13635423529,124.69294679868,108.95244681263,N/A,115.43048701477
2007,92.00041588981,117.79096010534,170.40433072109,162.97728698669,168.11302438986,N/A,71.77117148392,336.37462110448,114.19803001401,80.76468042491,120.54946975837,87.71157347207,207.20982077195,136.21627720702,141.29526122543,107.42512064799,104.23007495153,177.62604814869,162.35929767826,140.24316766724,122.54555777638,219.5315587022,133.3843116782,107.73163043604,121.22770341543,N/A,100.71990799857,84.30146826531,89.74891346899,273.0045521589,89.26376788784,170.17211037755,123.15312660187,110.41878676032,165.31339154795,N/A,164.54572008446,90.01926021996,210.00640847716,176.40103036898,146.0248901514,243.15590962698,N/A,99.95147458588,124.926286134,108.86026374783,107.64463387383,149.45058516438,149.36621336681,261.80049317544,117.16485336598,102.18486122864,213.27600644565,116.62964594338,112.79527972215,152.18877484214,142.3640065335,111.07733413959,217.9645141593,152.16590528962,128.33104984627,110.95995207435,169.99899729569,207.0345773924,108.13476793824,128.37634843437,77.90234758035,135.60206945928,118.29258704828,101.68280343475,101.12972559921,58.2289246871,101.02531786079,130.04597692261,238.53840400445,261.48620306992,148.01343447391,125.77297960276,N/A,230.84121840066
2008,75.43765883068,98.45246382818,135.30615587024,178.42824879519,129.62828308282,N/A,81.63090165715,247.21789082316,106.61884417657,72.59444139669,94.44165169608,78.54537128721,167.17050079359,126.12068436262,118.34763704766,96.18914292098,122.73350529987,115.3380076105,133.6137315673,113.94600985195,109.90607426049,166.83660409148,110.06491925544,97.27340364233,100.20820762836,N/A,90.07865222419,78.48741270357,97.02949340142,168.09496158558,85.53477192474,129.65272559312,99.85506391177,152.19377589766,137.08730837851,146.89704570903,107.11081236858,92.52098113748,157.89800385508,141.05023996584,137.04432013056,194.116359627,123.5017279625,90.9017206277,113.61800880527,98.25120036231,131.33782382583,121.8969412127,110.90980298325,300.47384774729,103.5849017472,145.34504563061,166.28014514168,89.14539798343,90.41932142562,128.12585915642,112.9217572328,143.51756854353,137.55200606428,136.90127640114,132.77566858617,93.02284272924,186.91099193144,174.47373276246,90.11039034572,108.6388204153,68.97718479175,100.80268038995,101.60333205019,88.84174186496,94.45142360969,70.33258254547,80.06382848856,139.33293758379,186.14779921175,274.4235889303,114.35695474955,107.46215415753,N/A,112.90580159945
2009,69.37859885966,73.60899112577,80.66908113355,106.92280206,83.35619138391,112.09670930497,70.79968614243,86.53384809882,80.62023611026,72.77789646954,86.67703641441,77.20454772263,85.69711292134,79.82033746962,81.93242807279,76.78858875529,86.50546976787,69.33050076277,84.51108189298,83.27728846352,84.0379194019,100.28797863439,83.8009248123,84.24541625885,69.4784876224,95.62901807077,75.22020913097,68.96738579675,85.75299002929,87.30503077534,71.09458718936,85.23101150939,85.38331254209,104.13333158467,62.47866279612,85.88534498894,79.67670703682,74.57810611725,80.92772556214,74.24382333026,74.18258138249,88.60778254169,103.53303612272,80.52694275795,79.48873018786,75.62783385949,98.51981521531,79.69672180261,80.75041253474,106.91289196455,70.56809879902,87.44286754443,81.28465414142,75.67047544311,78.68356969956,74.617124243,85.23066405877,92.81988813357,67.15885964477,62.72740247657,89.08881900589,76.81135552912,129.6690972064,94.86561650092,76.32392416709,83.96427056149,65.86170024423,78.10133233437,82.92466229655,76.46216798523,77.37458881428,77.96127579311,66.13794469354,89.16151406998,68.10576525374,106.6435983829,81.92638297017,84.76695931913,N/A,88.08797295509
