Year,Afghanistan,Africa Eastern and Southern,Africa Western and Central,Albania,Algeria,Angola,Arab World,Argentina,Armenia,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Caribbean small states,Central African Republic,Central Europe and the Baltics,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Djibouti,Dominican Republic,Early-demographic dividend,East Asia & Pacific,East Asia & Pacific (IDA & IBRD countries),East Asia & Pacific (excluding high income),Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Euro area,Europe & Central Asia,Europe & Central Asia (IDA & IBRD countries),Europe & Central Asia (excluding high income),European Union,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Heavily indebted poor countries (HIPC),High income,Honduras,"Hong Kong SAR, China",Hungary,IBRD only,IDA & IBRD total,IDA blend,IDA only,IDA total,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, Dem. People's Rep.","Korea, Rep.",Kuwait,Kyrgyz Republic,Lao PDR,Late-demographic dividend,Latin America & Caribbean,Latin America & Caribbean (excluding high income),Latin America & the Caribbean (IDA & IBRD countries),Latvia,Least developed countries: UN classification,Lebanon,Lesotho,Liberia,Libya,Lithuania,Low & middle income,Low income,Lower middle income,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)","Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",Middle income,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,North Macedonia,Norway,OECD members,Oman,Other small states,Pacific island small states,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Post-demographic dividend,Pre-demographic dividend,Puerto Rico (US),Qatar,Romania,Russian Federation,Rwanda,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovak Republic,Slovenia,Small states,Solomon Islands,"Somalia, Fed. Rep.",South Africa,South Asia,South Asia (IDA & IBRD),South Sudan,Spain,Sri Lanka,St. Lucia,St. Vincent and the Grenadines,Sub-Saharan Africa,Sub-Saharan Africa (IDA & IBRD countries),Sub-Saharan Africa (excluding high income),Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Viet Nam,Virgin Islands (U.S.),West Bank and Gaza,World,"Yemen, Rep.",Zambia,Zimbabwe
1991,7.972,8.05080898877577,4.15800759981861,10.304,20.6,16.816,11.9097573121416,5.44,1.774,9.586,3.42,0.9,12.17,1.047,2.2,22.41,0.6,6.984,9.647,1.637,1.381,2.935,17.55,13.82,6.887,4.7,11.1,2.467,3.147,13.527,0.768,8.986,10.316,16.3249606471741,5.697,9.5754583965422,0.668,5.679,5.23,2.37,10.12,4.795,3.272,19.911,5.37,6.595,11.14,8.306,3.0,2.27,9.099,26.118,6.863,6.27795263088707,2.45960141823164,2.4073196083798,2.41390623885303,4.371,9.38,7.53,6.677,5.129,1.468,20.521,3.284,8.38151659365943,6.89908680494163,5.90955131197024,4.47175276094931,8.58619358196168,4.618,6.503,9.134,11.591,17.224,9.778,2.7,5.316,3.489,7.572,3.509,2.197,4.56,3.009,12.092,7.329,5.1214478571728,6.58341693713519,4.58,1.8,8.5,4.94818008732479,4.80295800663217,3.23945543564595,4.5538366153913,4.10695219284381,2.548,7.641,2.617,11.1,8.639,15.771,13.387,10.097,6.233,2.059,21.439,0.9,2.78,2.845,2.407,0.884,1.0,2.497,3.66023223286086,6.30995748550306,6.1915169401315,6.18499961502329,2.7,4.54804656662586,8.594,15.495,2.735,18.601,1.1,4.64961574191654,4.81357204866185,6.27763808108202,1.482,3.01,6.169,4.9,3.7,0.788,1.399,6.335,9.971,9.493,3.145,7.96325856391227,8.03168197869505,8.04281882929149,4.63827281318284,1.9,5.665,30.118,13.502,2.838,0.828,19.14,10.465,7.285,18.124,10.614,7.909,1.588,3.831,7.16085104908465,24.5,5.407,6.78453649835212,4.056,7.94216805267713,3.87708909176688,0.596,6.443,2.793,5.1,4.926,3.727,13.621,3.919,6.30420825660087,5.34568002926235,16.18,0.87,8.23,5.11,12.335,2.1,14.493,7.316,2.861,13.371,4.135,2.18,12.1,7.08,9.56063404717749,1.967,19.003,23.137,7.24315545951345,7.24315545951344,12.334,15.929,14.661,16.521,19.77,6.43917335186611,6.43917335186611,6.43917335186611,15.619,17.189,3.243,1.818,6.75,1.823,3.6,2.63,3.453,4.057,1.348,18.52,15.935,8.21,1.4,3.448,1.9,1.629,8.55,6.8,3.77649413780259,8.95,1.9,7.976,9.45,2.14,10.917,10.666,5.11944100527764,8.428,18.9,4.793
1992,7.958,8.15827337351447,4.24675578183281,30.007,24.38,16.959,12.1536912884058,6.36,1.8,10.733,3.59,1.8,14.81,0.968,2.233,22.94,3.1,6.702,9.654,1.51,1.391,3.03,18.477,16.33,7.086,4.791,15.3,2.505,3.131,13.428,0.748,9.055,11.197,17.043855044918,5.825,10.1959798130274,0.658,6.121,4.35,2.37,9.44,4.528,3.372,19.916,3.93,6.7,10.974,8.779,2.09,2.6,9.027,26.457,6.669,6.34783715467962,2.45298512544046,2.37576826157152,2.38330583983105,4.333,8.92,7.88,6.878,5.297,3.681,20.947,3.416,9.07940377823132,7.50363987800311,6.36813427704303,5.26992299704434,9.23104957739059,4.64,11.595,10.203,11.724,17.716,9.888,5.4,6.323,4.7,8.927,3.837,2.163,4.58,3.083,11.9,7.387,5.23141741602695,7.07155147049588,3.06,1.96,9.942,5.00864134602565,4.86120657901686,3.31106342065644,4.6045389592349,4.1634419391715,4.305,7.649,2.734,10.653,8.346,15.021,14.08,9.321,6.383,2.158,19.947,1.0,2.894,2.875,2.513,0.878,1.1,2.71,3.67499973475162,6.30385369925644,6.21454819166058,6.16195847363912,6.6,4.60773579214704,8.225,15.448,2.724,18.828,1.2,4.70736948474443,4.88546517773896,6.27342538151348,2.029,2.196,6.275,5.064,3.71,0.789,1.483,6.333,10.052,9.428,3.235,8.07196382177059,8.14685219721253,8.15777841491164,4.69492774360074,3.7,5.857,30.181,13.781,3.028,0.796,18.896,10.473,5.555,18.61,10.667,7.809,1.569,3.79,7.87315728585848,26.3,5.91,7.26896398956244,4.16,8.54155735284872,3.87633861318752,0.587,6.317,2.608,4.98,5.068,3.849,13.645,3.985,6.91243365569707,5.38652663390759,16.93,0.87,8.26,5.181,12.114,2.439,14.65,7.2,2.928,13.397,4.376,3.09,12.185,7.83,10.138175676572,1.851,19.377,23.463,7.23871666924301,7.23871666924301,12.374,17.697,14.22,16.549,19.558,6.53438914473603,6.53438914473603,6.53438914473603,15.668,17.28,5.722,2.344,6.949,1.85,3.683,1.35,3.36,4.209,1.349,19.66,15.598,8.509,1.5,3.553,1.9,1.715,9.772,7.5,3.85487912986685,8.96,2.9,7.945,7.69,2.109,11.088,10.692,5.27553525015329,8.351,19.568,4.933
1993,7.908,8.15590989808314,4.36682360679359,25.251,26.23,17.44,12.9097459716624,10.1,5.3,10.879,4.25,4.5,12.72,0.882,2.31,24.54,8.5,8.078,9.78,1.494,1.418,3.05,19.408,18.761,6.03,4.903,16.4,2.426,3.094,13.276,0.733,9.154,11.377,16.8394643774493,5.897,11.6885817374484,0.7,7.082,4.49,2.69,7.8,4.571,3.45,19.99,3.95,5.869,10.779,9.27,2.7,4.349,10.719,27.253,6.322,6.52253587521998,2.70801641148741,2.62936653616558,2.63468153816686,4.403,10.92,9.94,7.024,5.387,6.544,21.76,3.252,10.824111215694,8.65755617021955,7.0346645065866,5.93307208181572,10.8519435596734,4.694,16.201,11.32,11.778,17.78,9.917,5.4,7.675,5.231,10.177,5.527,2.133,4.561,3.143,11.617,7.534,5.22675203435376,7.65008059126222,3.098,1.96,12.098,5.23619365659646,5.06310746460889,3.53024916447056,4.63100459582108,4.25598155506278,5.257,7.662,2.782,10.573,8.36,15.571,12.741,10.212,6.235,2.539,19.7,1.11,2.979,2.98,2.878,0.8,1.258,2.732,3.88855373414191,6.07134108681392,5.96815199708885,5.9122489733434,16.7,4.62748511493303,8.226,15.568,2.706,19.006,13.8,4.88809600890194,4.87614750873397,6.39480966561725,2.33,2.057,6.317,4.988,4.11,0.796,1.419,6.332,9.85,9.5,3.365,8.52874979745686,8.68160187265869,8.6904598679539,4.88893972820073,3.7,5.859,30.238,14.026,2.896,0.779,19.078,10.492,6.287,18.762,9.804,7.833,1.541,4.023,7.34989291267264,27.7,5.965,7.76186074581727,4.009,9.40750422047572,3.93673769020559,0.596,6.374,2.382,5.06,4.795,3.869,14.393,5.301,7.5103906033007,5.45794091503848,16.91,0.87,8.251,5.883,12.155,2.689,14.46,7.002,2.878,13.416,4.401,3.07,12.2,8.51,10.6575821130902,1.829,19.331,23.361,7.24980061619164,7.24980061619164,12.233,22.156,13.82,16.8,19.681,6.57993534604531,6.57993534604531,6.57993534604531,15.51,15.64,9.33,3.551,7.4,2.65,3.892,1.49,3.273,4.507,1.3,19.81,15.948,8.962,1.5,3.487,2.0,1.901,10.346,6.9,4.07605395620867,8.35,4.9,8.262,6.6,2.037,11.187,10.705,5.54366000199437,8.343,19.7,4.993
1994,7.883,8.02210049864685,4.39040299907666,20.835,27.74,17.444,13.012183394794,11.76,6.6,9.724,3.535,6.3,13.83,1.007,2.37,22.98,12.8,9.645,11.1,1.453,1.405,3.08,20.17,21.2,6.579,5.007,12.8,2.58,3.106,12.936,0.996,8.878,10.395,16.1154342863252,5.924,11.5568158799985,0.709,7.235,5.87,2.9,8.25,4.566,3.403,20.269,4.05,5.046,10.364,8.806,2.7,4.284,8.036,27.118,6.285,6.75830009709217,2.97684115736109,2.93069940629993,2.93314445248656,4.409,10.93,7.68,7.123,5.446,7.561,21.726,3.1,11.7623069320318,9.65148359317699,8.4016596302501,7.15598913122265,11.5479115718761,4.598,16.426,12.593,11.98,17.804,10.044,8.4,8.727,5.9,9.808,7.6,2.12,4.527,3.173,11.534,7.858,5.16826884648105,7.91329164341291,3.138,1.9,10.847,5.61775478445955,5.37943678872026,3.65543950397293,4.60835780229788,4.28332395491799,5.326,7.593,4.366,10.458,8.221,14.544,9.934,11.086,6.335,2.89,16.894,7.54,2.955,3.092,2.476,0.7,1.41,2.634,4.30063275796876,6.67780065279213,6.58753832638945,6.56680800344838,18.7,4.60128459329896,8.321,15.62,2.652,19.328,13.8,5.13860302652086,4.85411582388363,6.41400336594453,3.479,2.48,6.106,5.368,3.64,0.793,1.512,6.331,9.979,9.513,4.436,8.52159746477789,8.74589375449375,8.75493973614969,5.15883351064485,5.8,5.709,30.226,13.858,2.879,0.739,19.4,10.458,7.159,18.878,8.354,7.668,1.502,4.064,6.54555954314501,30.0,5.349,7.8347445928305,4.073,9.57430196742702,3.90359689716017,0.601,6.428,2.418,4.41,4.491,3.767,14.825,6.709,7.50942275337142,5.42353591142816,14.6,0.87,8.17,8.131,12.236,2.999,14.41,6.733,2.947,13.405,4.457,3.03,13.654,8.24,10.5872265992528,1.804,19.971,23.067,7.18007906379825,7.18007906379825,12.326,24.209,13.03,17.0,19.974,6.50949329587814,6.50949329587814,6.50949329587814,15.617,12.7,9.58,3.58,7.5,3.15,3.861,1.347,3.309,4.201,1.688,18.44,16.006,8.577,4.7,3.458,2.0,1.834,9.648,6.119,4.47359398210564,9.04,7.3,8.083,8.56,1.972,10.959,10.778,5.78928276777345,8.34,18.689,4.96
1995,7.868,7.77389399169686,4.39327114704215,14.607,31.84,16.978,13.5049205239265,18.8,6.7,8.473,4.345,7.2,10.83,1.044,2.441,19.66,17.7,9.337,12.48,1.305,1.4,2.664,20.944,21.394,7.092,5.066,11.1,2.532,3.095,12.883,0.973,8.598,9.489,14.6507674227641,5.871,11.0167295576433,0.755,6.974,4.7,3.0,8.72,4.675,3.285,20.226,5.18,4.1,10.007,8.27,2.6,4.082,6.992,27.303,6.439,7.03393456293223,3.05225354598453,3.01496053849378,3.01646156806726,4.408,11.04,7.65,7.16,5.349,9.659,21.65,3.005,11.4116470422155,9.9311190228704,9.38897907204676,8.5598066611286,11.109236245509,4.651,17.005,11.834,11.941,17.388,10.153,7.6,8.158,6.484,10.116,7.9,2.117,4.494,3.126,11.566,7.51,4.98419036566327,7.72020926863037,3.24,3.22,10.168,5.93858823293218,5.63094435698265,3.69403538353833,4.50786196999695,4.23083213718091,5.196,7.57,4.611,9.904,8.431,11.97,8.782,11.661,6.325,3.15,14.6,10.98,2.848,3.114,2.063,0.694,1.539,2.6,4.47531718027035,7.90486804676992,7.93017657774393,7.85357644180886,19.0,4.49969126881535,8.421,15.797,2.588,19.331,17.54,5.3751051711057,4.74963493906807,6.4322803351256,2.918,3.581,6.092,4.895,3.15,0.79,1.464,6.33,9.766,9.59,7.095,8.74623216428901,9.03428655097015,9.04197057012473,5.41998900346591,5.3,5.5,30.196,14.054,2.758,0.754,21.34,10.473,7.157,18.629,6.461,7.414,1.494,4.152,6.03024492508477,35.6,6.307,7.60351506136332,4.167,9.94793817545676,3.98085442407908,0.611,6.512,2.603,3.4,4.708,3.68,13.695,7.064,7.38445233898678,5.30385646073927,13.93,0.87,8.01,9.449,11.938,3.244,14.342,6.365,2.846,13.4,4.317,3.3,13.109,7.15,10.4710896476613,1.841,19.585,22.705,7.15013674904188,7.15013674904188,12.334,22.675,12.27,15.83,20.005,6.36418816479738,6.36418816479738,6.36418816479738,15.627,8.39,8.897,3.094,7.2,3.45,3.672,1.1,3.348,3.99,1.987,17.22,16.348,7.644,8.3,3.193,5.62,1.8,8.694,5.65,4.85948587608005,10.02,7.8,8.134,10.24,1.955,10.611,10.714,5.91952290919851,8.988,16.834,5.566
1996,7.878,7.6816226939442,4.32685070034471,13.928,28.268,16.177,12.4585943877988,17.11,9.3,8.509,5.282,8.1,11.46,1.177,2.51,14.71,24.4,9.483,13.82,1.246,1.392,2.375,21.682,21.593,8.035,5.153,12.5,2.446,3.095,12.844,0.963,8.06,9.62,14.1980943997497,5.84,10.3630367762026,0.7,6.897,7.414,3.12,11.81,4.774,3.156,20.049,6.16,4.039,9.68,7.61,3.1,3.852,6.844,27.172,6.485,6.88342868446174,3.16713936232141,3.12070620503968,3.12119458500169,4.422,9.0,7.68,7.215,5.31,9.915,22.074,3.121,11.6458051517727,10.2686228030506,9.98342568855379,9.94996550467078,11.1438232362614,4.623,15.572,12.367,11.92,17.325,10.192,11.5,8.822,7.091,10.402,8.283,2.156,4.509,2.994,11.542,7.304,4.95292940806701,7.73545491106261,4.37,2.83,10.022,6.03438037229408,5.71148576928971,3.79689239249563,4.50463277928782,4.26268902692163,3.6,7.537,4.861,9.1,8.516,11.692,8.455,11.864,6.611,3.383,13.7,12.96,2.773,3.153,2.048,0.7,1.647,2.45,4.67637018700231,8.29119463249977,8.24140904744954,8.26787405014723,20.7,4.46841497543362,8.413,15.709,2.397,19.212,16.4,5.46029557811034,4.78873569181807,6.37600769762175,3.286,4.261,6.092,4.94,2.52,1.019,1.421,6.329,9.764,9.503,5.465,7.96657131190278,8.20998075616307,8.22167447864504,5.50883774297394,7.9,5.53,30.173,13.362,2.763,0.753,22.844,10.446,6.421,18.64,6.29,7.12,1.498,4.043,5.86183271562099,38.8,5.036,7.54860880642088,4.254,9.99515701713923,4.01560097752488,0.6,6.728,2.728,8.15,4.929,3.607,12.684,7.298,7.55967472307922,5.18139865547561,13.64,0.87,6.74,9.665,11.507,3.515,14.33,5.804,2.831,13.2,4.313,3.57,11.341,6.879,10.3911667521844,1.875,19.463,22.5,7.11279594729808,7.11279594729808,12.314,22.142,11.35,16.33,20.343,6.28008010794966,6.28008010794966,6.28008010794967,15.605,10.88,9.547,3.684,7.221,4.05,3.475,1.071,3.372,3.606,2.404,16.25,16.061,6.629,10.3,3.169,7.65,1.836,8.189,5.451,5.02054476197626,11.93,10.7,8.091,11.77,1.93,10.647,10.726,5.98379612550455,9.585,15.3,6.151
1997,7.863,7.64190636706094,4.29679829052344,16.872,25.43,16.064,11.9963600041588,14.82,10.8,8.367,5.15,9.1,9.76,1.125,2.698,14.61,17.1,8.95,12.68,1.1,1.393,2.08,22.586,21.031,9.003,5.204,13.7,2.412,3.124,13.01,0.638,7.859,9.1,13.6119469585577,5.797,9.39172805883786,0.732,6.685,7.136,3.23,12.14,4.561,3.171,19.886,5.68,3.964,9.71,7.1,3.4,4.674,5.4,27.176,6.323,6.76187367957394,3.25632597864275,3.21237864407138,3.2129923203788,4.424,8.37,7.98,7.263,5.4,10.369,22.5,3.227,11.6700563091428,10.5181612217563,10.6542403206707,10.123820205318,10.9465383712559,4.725,14.967,12.566,11.866,17.166,9.999,11.5,9.861,7.639,10.472,9.67,2.145,4.477,2.951,11.565,7.003,4.88719727776726,7.73809408031265,3.32,2.22,8.991,6.14475484858296,5.7948041343638,3.77455453239581,4.48812474892138,4.24281908464435,3.72,7.574,4.684,9.68,8.269,10.191,9.751,11.985,6.693,3.374,13.74,13.01,2.818,3.253,2.608,0.7,1.739,2.354,4.94668708418151,8.14011323257484,8.10277013017074,8.12385222071718,14.9,4.46179286285131,8.62,15.822,2.195,19.151,14.13,5.5008309341595,4.81739630149601,6.36894933628588,2.527,3.225,5.971,4.69,2.45,1.25,1.411,6.328,9.788,9.381,4.235,7.77681950155754,7.99731851319209,8.00919483294535,5.55040548213861,7.9,5.608,30.219,14.025,2.7,0.764,24.45,10.512,5.511,18.382,6.857,7.1,1.503,3.964,5.40301547573426,36.0,4.687,7.2525797614352,4.196,10.1294672610186,4.1590180797063,0.611,6.588,2.854,5.36,4.762,3.592,10.964,6.571,7.36478723006136,5.08085494178219,13.8,0.87,5.515,11.813,11.087,3.78,14.414,5.283,2.759,13.8,4.363,2.5,11.894,6.648,10.337837085904,2.009,18.899,22.549,7.15153632180334,7.15153632180334,12.068,20.698,10.6,20.47,20.133,6.24071131444565,6.24071131444566,6.24071131444565,15.324,10.56,10.359,4.127,7.31,4.15,3.342,0.873,3.406,3.618,2.877,15.01,15.94,6.841,11.0,3.209,8.93,1.906,7.072,5.0,5.08286012255765,11.44,10.9,8.221,11.16,2.87,10.547,10.522,6.01023468033378,10.223,13.273,6.93
